Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"CABCOCO1","Ciliary Associated Calcium Binding Coiled-Coil 1","Protein Coding","24","GC10P061663","9.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CABCOCO1"
"MIR34A","MicroRNA 34a","RNA Gene","22","GC01M009151","9.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR34A"
"HNRNPA1","Heterogeneous Nuclear Ribonucleoprotein A1","Protein Coding","45","GC12P054280","9.2","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPA1"
"APAF1","Apoptotic Peptidase Activating Factor 1","Protein Coding","47","GC12P098645","9.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=APAF1"
"PLA2G10","Phospholipase A2 Group X","Protein Coding","44","GC16M014672","9.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G10"
"FBLN5","Fibulin 5","Protein Coding","44","GC14M091869","9.19","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBLN5"
"HIF1A","Hypoxia Inducible Factor 1 Subunit Alpha","Protein Coding","47","GC14P061695","9.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1A"
"CLDN4","Claudin 4","Protein Coding","41","GC07P073799","9.18","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN4"
"TH","Tyrosine Hydroxylase","Protein Coding","51","GC11M002163","9.17","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH"
"SHBG","Sex Hormone Binding Globulin","Protein Coding","40","GC17P007613","9.17","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHBG"
"PLAU","Plasminogen Activator, Urokinase","Protein Coding","51","GC10P073909","9.17","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAU"
"HMOX1","Heme Oxygenase 1","Protein Coding","52","GC22P035380","9.17","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1"
"CPNE4","Copine 4","Protein Coding","38","GC03M131533","9.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPNE4"
"FZD4","Frizzled Class Receptor 4","Protein Coding","51","GC11M086945","9.16","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD4"
"MYH6","Myosin Heavy Chain 6","Protein Coding","45","GC14M023380","9.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYH6"
"MAPK8","Mitogen-Activated Protein Kinase 8","Protein Coding","50","GC10P048306","9.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8"
"PLA2G4D","Phospholipase A2 Group IVD","Protein Coding","37","GC15M042067","9.15","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G4D"
"CLDN3","Claudin 3","Protein Coding","40","GC07M073768","9.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLDN3"
"OCM2","Oncomodulin 2","Protein Coding","27","GC07M097984","9.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OCM2"
"H2BC21","H2B Clustered Histone 21","Protein Coding","31","GC01M149950","9.14","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2BC21"
"FBN3","Fibrillin 3","Protein Coding","36","GC19M008065","9.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN3"
"CGA","Glycoprotein Hormones, Alpha Polypeptide","Protein Coding","43","GC06M087085","9.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CGA"
"CBARP","CACN Subunit Beta Associated Regulatory Protein","Protein Coding","25","GC19M001228","9.13","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBARP"
"CAPN14","Calpain 14","Protein Coding","33","GC02M031173","9.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN14"
"DBH","Dopamine Beta-Hydroxylase","Protein Coding","50","GC09P133636","9.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBH"
"C1S","Complement C1s","Protein Coding","45","GC12P008238","9.12","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1S"
"CDKN2A","Cyclin Dependent Kinase Inhibitor 2A","Protein Coding","51","GC09M021967","9.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN2A"
"JUP","Junction Plakoglobin","Protein Coding","47","GC17M041754","9.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JUP"
"TGM3","Transglutaminase 3","Protein Coding","42","GC20P002276","9.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM3"
"TSPAN16","Tetraspanin 16","Protein Coding","32","GC19P011296","9.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSPAN16"
"ATP7B","ATPase Copper Transporting Beta","Protein Coding","47","GC13M051930","9.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP7B"
"SEMA3A","Semaphorin 3A","Protein Coding","45","GC07M083955","9.11","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SEMA3A"
"STC2","Stanniocalcin 2","Protein Coding","40","GC05M173314","9.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STC2"
"CYSLTR2","Cysteinyl Leukotriene Receptor 2","Protein Coding","47","GC13P048653","9.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYSLTR2"
"CDH9","Cadherin 9","Protein Coding","39","GC05M026916","9.1","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH9"
"CXCL13","C-X-C Motif Chemokine Ligand 13","Protein Coding","41","GC04P077511","9.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL13"
"COQ8B","Coenzyme Q8B","Protein Coding","32","GC19M042476","9.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COQ8B"
"PDE1B","Phosphodiesterase 1B","Protein Coding","43","GC12P054549","9.09","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE1B"
"SAG","S-Antigen Visual Arrestin","Protein Coding","44","GC02P233311","9.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAG"
"SNX10","Sorting Nexin 10","Protein Coding","41","GC07P026291","9.08","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNX10"
"MET","MET Proto-Oncogene, Receptor Tyrosine Kinase","Protein Coding","54","GC07P116672","9.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MET"
"NTSR1","Neurotensin Receptor 1","Protein Coding","42","GC20P062708","9.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTSR1"
"RGS2","Regulator Of G Protein Signaling 2","Protein Coding","43","GC01P192809","9.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RGS2"
"CXCR3","C-X-C Motif Chemokine Receptor 3","Protein Coding","44","GC0XM071615","9.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR3"
"CDH8","Cadherin 8","Protein Coding","41","GC16M061647","9.07","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH8"
"CYP17A1","Cytochrome P450 Family 17 Subfamily A Member 1","Protein Coding","48","GC10M102830","9.06","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP17A1"
"PTGER3","Prostaglandin E Receptor 3","Protein Coding","46","GC01M070852","9.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGER3"
"BLK","BLK Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","51","GC08P011486","9.05","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLK"
"TMEM38B","Transmembrane Protein 38B","Protein Coding","42","GC09P105694","9.04","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TMEM38B"
"CDH12","Cadherin 12","Protein Coding","40","GC05M021786","9.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH12"
"CDH22","Cadherin 22","Protein Coding","37","GC20M046173","9.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH22"
"CDH26","Cadherin 26","Protein Coding","35","GC20P059958","9.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH26"
"CBX5","Chromobox 5","Protein Coding","44","GC12M054230","9.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBX5"
"PLA2G4F","Phospholipase A2 Group IVF","Protein Coding","39","GC15M042139","9.03","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G4F"
"SLC36A2","Solute Carrier Family 36 Member 2","Protein Coding","44","GC05M151309","9.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC36A2"
"XDH","Xanthine Dehydrogenase","Protein Coding","47","GC02M031294","9.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=XDH"
"HDAC9","Histone Deacetylase 9","Protein Coding","46","GC07P018086","9.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC9"
"CALN1","Calneuron 1","Protein Coding","35","GC07M071780","9.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALN1"
"GRIN3A","Glutamate Ionotropic Receptor NMDA Type Subunit 3A","Protein Coding","37","GC09M101569","9.02","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRIN3A"
"PCP4","Purkinje Cell Protein 4","Protein Coding","35","GC21P039867","9.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCP4"
"MEFV","MEFV Innate Immuity Regulator, Pyrin","Protein Coding","43","GC16M003281","9.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEFV"
"NTF3","Neurotrophin 3","Protein Coding","43","GC12P005432","9.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTF3"
"WNK3","WNK Lysine Deficient Protein Kinase 3","Protein Coding","39","GC0XM054193","9.01","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WNK3"
"PTX3","Pentraxin 3","Protein Coding","41","GC03P157436","9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTX3"
"SLC26A3","Solute Carrier Family 26 Member 3","Protein Coding","45","GC07M107765","9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC26A3"
"SYP","Synaptophysin","Protein Coding","43","GC0XM049187","8.98","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYP"
"LCAT","Lecithin-Cholesterol Acyltransferase","Protein Coding","47","GC16M067939","8.97","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCAT"
"CBLB","Cbl Proto-Oncogene B","Protein Coding","44","GC03M105655","8.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CBLB"
"NCAM1","Neural Cell Adhesion Molecule 1","Protein Coding","45","GC11P112961","8.96","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NCAM1"
"CDH10","Cadherin 10","Protein Coding","39","GC05M024522","8.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH10"
"CDH19","Cadherin 19","Protein Coding","37","GC18M066501","8.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH19"
"CDH18","Cadherin 18","Protein Coding","37","GC05M019508","8.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH18"
"CDH20","Cadherin 20","Protein Coding","36","GC18P061333","8.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH20"
"SAMHD1","SAM And HD Domain Containing Deoxynucleoside Triphosphate Triphosphohydrolase 1","Protein Coding","43","GC20M036890","8.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAMHD1"
"RNASEH2B","Ribonuclease H2 Subunit B","Protein Coding","37","GC13P050909","8.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEH2B"
"RASGRF2","Ras Protein Specific Guanine Nucleotide Releasing Factor 2","Protein Coding","38","GC05P080960","8.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASGRF2"
"CYP2C19","Cytochrome P450 Family 2 Subfamily C Member 19","Protein Coding","46","GC10P094762","8.95","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C19"
"IL1A","Interleukin 1 Alpha","Protein Coding","44","GC02M112773","8.94","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A"
"P2RY4","Pyrimidinergic Receptor P2Y4","Protein Coding","43","GC0XM070258","8.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RY4"
"SNTA1","Syntrophin Alpha 1","Protein Coding","43","GC20M033407","8.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNTA1"
"ANXA8","Annexin A8","Protein Coding","35","GC10M047460","8.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA8"
"SOD2","Superoxide Dismutase 2","Protein Coding","51","GC06M159669","8.93","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD2"
"JAK2","Janus Kinase 2","Protein Coding","54","GC09P004985","8.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAK2"
"FOXP3","Forkhead Box P3","Protein Coding","46","GC0XM049250","8.92","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3"
"ACTN1","Actinin Alpha 1","Protein Coding","50","GC14M068874","8.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTN1"
"TPH1","Tryptophan Hydroxylase 1","Protein Coding","44","GC11M018040","8.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPH1"
"CAPN9","Calpain 9","Protein Coding","42","GC01P230747","8.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN9"
"MUSK","Muscle Associated Receptor Tyrosine Kinase","Protein Coding","46","GC09P110668","8.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUSK"
"CAPN13","Calpain 13","Protein Coding","39","GC02M030683","8.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAPN13"
"C2CD4A","C2 Calcium Dependent Domain Containing 4A","Protein Coding","30","GC15P062066","8.91","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C2CD4A"
"ADRA1D","Adrenoceptor Alpha 1D","Protein Coding","45","GC20M004220","8.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRA1D"
"PHKA2","Phosphorylase Kinase Regulatory Subunit Alpha 2","Protein Coding","45","GC0XM018892","8.9","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHKA2"
"EZH2","Enhancer Of Zeste 2 Polycomb Repressive Complex 2 Subunit","Protein Coding","54","GC07M148807","8.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EZH2"
"RPS6KB1","Ribosomal Protein S6 Kinase B1","Protein Coding","49","GC17P059893","8.89","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KB1"
"PIK3CG","Phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Gamma","Protein Coding","48","GC07P106865","8.88","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIK3CG"
"PTGS1","Prostaglandin-Endoperoxide Synthase 1","Protein Coding","46","GC09P122370","8.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS1"
"ADAR","Adenosine Deaminase RNA Specific","Protein Coding","44","GC01M154582","8.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAR"
"RNASEH2A","Ribonuclease H2 Subunit A","Protein Coding","43","GC19P012809","8.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEH2A"
"CDK4","Cyclin Dependent Kinase 4","Protein Coding","54","GC12M057743","8.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4"
"OPRD1","Opioid Receptor Delta 1","Protein Coding","44","GC01P028812","8.87","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPRD1"
"MRC2","Mannose Receptor C Type 2","Protein Coding","40","GC17P062627","8.86","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MRC2"
"CYP2C9","Cytochrome P450 Family 2 Subfamily C Member 9","Protein Coding","48","GC10P094938","8.86","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2C9"
"CD28","CD28 Molecule","Protein Coding","47","GC02P203706","8.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD28"
"PPBP","Pro-Platelet Basic Protein","Protein Coding","43","GC04M073986","8.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPBP"
"ADORA2A","Adenosine A2a Receptor","Protein Coding","45","GC22P024417","8.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADORA2A"
"SOAT1","Sterol O-Acyltransferase 1","Protein Coding","44","GC01P179262","8.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOAT1"
"MAP3K5","Mitogen-Activated Protein Kinase Kinase Kinase 5","Protein Coding","47","GC06M136557","8.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP3K5"
"HRH1","Histamine Receptor H1","Protein Coding","45","GC03P011113","8.85","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRH1"
"LMNB2","Lamin B2","Protein Coding","43","GC19M002439","8.84","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMNB2"
"DRD3","Dopamine Receptor D3","Protein Coding","44","GC03M114128","8.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DRD3"
"WT1","WT1 Transcription Factor","Protein Coding","49","GC11M032365","8.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=WT1"
"P2RX2","Purinergic Receptor P2X 2","Protein Coding","43","GC12P132618","8.83","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RX2"
"RASA3","RAS P21 Protein Activator 3","Protein Coding","39","GC13M113977","8.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASA3"
"TACR2","Tachykinin Receptor 2","Protein Coding","43","GC10M069403","8.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TACR2"
"EFCAB10","EF-Hand Calcium Binding Domain 10","Protein Coding","21","GC07M105565","8.82","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EFCAB10"
"LHCGR","Luteinizing Hormone/Choriogonadotropin Receptor","Protein Coding","47","GC02M048647","8.81","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LHCGR"
"MEF2A","Myocyte Enhancer Factor 2A","Protein Coding","47","GC15P099565","8.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEF2A"
"HMGB1","High Mobility Group Box 1","Protein Coding","44","GC13M030456","8.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGB1"
"MYL4","Myosin Light Chain 4","Protein Coding","44","GC17P047189","8.8","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYL4"
"SPHK1","Sphingosine Kinase 1","Protein Coding","47","GC17P076376","8.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPHK1"
"CXCL11","C-X-C Motif Chemokine Ligand 11","Protein Coding","40","GC04M076033","8.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL11"
"IL7","Interleukin 7","Protein Coding","42","GC08M078689","8.78","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL7"
"DGCR6","DiGeorge Syndrome Critical Region Gene 6","Protein Coding","32","GC22P018906","8.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGCR6"
"ADCY6","Adenylate Cyclase 6","Protein Coding","47","GC12M048766","8.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCY6"
"A2M","Alpha-2-Macroglobulin","Protein Coding","45","GC12M009067","8.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=A2M"
"PADI2","Peptidyl Arginine Deiminase 2","Protein Coding","41","GC01M017066","8.77","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PADI2"
"DES","Desmin","Protein Coding","48","GC02P219418","8.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DES"
"ENG","Endoglin","Protein Coding","46","GC09M127815","8.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENG"
"MTHFR","Methylenetetrahydrofolate Reductase","Protein Coding","47","GC01M011785","8.76","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTHFR"
"ETS1","ETS Proto-Oncogene 1, Transcription Factor","Protein Coding","49","GC11M128458","8.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ETS1"
"GAP43","Growth Associated Protein 43","Protein Coding","43","GC03P115623","8.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAP43"
"TFF1","Trefoil Factor 1","Protein Coding","44","GC21M042362","8.75","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TFF1"
"TAC1","Tachykinin Precursor 1","Protein Coding","43","GC07P097731","8.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAC1"
"OSTM1","Osteoclastogenesis Associated Transmembrane Protein 1","Protein Coding","38","GC06M108041","8.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSTM1"
"UFD1","Ubiquitin Recognition Factor In ER Associated Degradation 1","Protein Coding","35","GC22M019450","8.74","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UFD1"
"RNASEH2C","Ribonuclease H2 Subunit C","Protein Coding","39","GC11M065714","8.73","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASEH2C"
"PANX1","Pannexin 1","Protein Coding","43","GC11P094128","8.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANX1"
"GH1","Growth Hormone 1","Protein Coding","44","GC17M063917","8.72","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GH1"
"TPM4","Tropomyosin 4","Protein Coding","40","GC19P023264","8.71","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TPM4"
"DAPK1","Death Associated Protein Kinase 1","Protein Coding","48","GC09P087497","8.7","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAPK1"
"CHD1","Chromodomain Helicase DNA Binding Protein 1","Protein Coding","45","GC05M098853","8.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHD1"
"GRB2","Growth Factor Receptor Bound Protein 2","Protein Coding","49","GC17M075318","8.69","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRB2"
"ABCC1","ATP Binding Cassette Subfamily C Member 1","Protein Coding","47","GC16P015949","8.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCC1"
"NTRK1","Neurotrophic Receptor Tyrosine Kinase 1","Protein Coding","48","GC01P156786","8.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NTRK1"
"CHRNB1","Cholinergic Receptor Nicotinic Beta 1 Subunit","Protein Coding","43","GC17P008018","8.68","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHRNB1"
"VIL1","Villin 1","Protein Coding","39","GC02P218419","8.67","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIL1"
"IL13","Interleukin 13","Protein Coding","44","GC05P132656","8.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13"
"KLRK1","Killer Cell Lectin Like Receptor K1","Protein Coding","40","GC12M013865","8.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLRK1"
"HTR7","5-Hydroxytryptamine Receptor 7","Protein Coding","47","GC10M090740","8.66","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR7"
"ITGB2","Integrin Subunit Beta 2","Protein Coding","50","GC21M044885","8.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB2"
"BMP4","Bone Morphogenetic Protein 4","Protein Coding","49","GC14M053949","8.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP4"
"CRYAA","Crystallin Alpha A","Protein Coding","44","GC21P043169","8.65","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRYAA"
"CCR7","C-C Motif Chemokine Receptor 7","Protein Coding","45","GC17M040556","8.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR7"
"SPTBN1","Spectrin Beta, Non-Erythrocytic 1","Protein Coding","43","GC02P054456","8.64","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTBN1"
"OPTN","Optineurin","Protein Coding","44","GC10P013099","8.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPTN"
"IFNB1","Interferon Beta 1","Protein Coding","41","GC09M021077","8.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNB1"
"LPAR3","Lysophosphatidic Acid Receptor 3","Protein Coding","43","GC01M084811","8.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPAR3"
"DGCR8","DGCR8 Microprocessor Complex Subunit","Protein Coding","40","GC22P020080","8.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DGCR8"
"ESS2","Ess-2 Splicing Factor Homolog","Protein Coding","28","GC22M019130","8.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ESS2"
"CALML4","Calmodulin Like 4","Protein Coding","34","GC15M068190","8.63","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALML4"
"MAX","MYC Associated Factor X","Protein Coding","48","GC14M065009","8.62","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAX"
"BCR","BCR Activator Of RhoGEF And GTPase","Protein Coding","51","GC22P023179","8.62","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BCR"
"THPO","Thrombopoietin","Protein Coding","42","GC03M184371","8.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=THPO"
"P2RY2","Purinergic Receptor P2Y2","Protein Coding","45","GC11P073217","8.59","https://www.genecards.org/cgi-bin/carddisp.pl?gene=P2RY2"
"CHAT","Choline O-Acetyltransferase","Protein Coding","47","GC10P049609","8.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHAT"
"ZAP70","Zeta Chain Of T Cell Receptor Associated Protein Kinase 70","Protein Coding","51","GC02P097696","8.58","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ZAP70"
"CYP2D6","Cytochrome P450 Family 2 Subfamily D Member 6","Protein Coding","48","GC22M042126","8.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2D6"
"DLG4","Discs Large MAGUK Scaffold Protein 4","Protein Coding","47","GC17M007189","8.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLG4"
"SIGMAR1","Sigma Non-Opioid Intracellular Receptor 1","Protein Coding","46","GC09M034634","8.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIGMAR1"
"AR","Androgen Receptor","Protein Coding","53","GC0XP067544","8.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AR"
"LOC108663985","Calcium Voltage-Gated Channel Subunit Alpha1 A Repeat Instability Region","Biological Region","1","GC19P013210","8.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC108663985"
"VIP","Vasoactive Intestinal Peptide","Protein Coding","44","GC06P152750","8.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VIP"
"RETN","Resistin","Protein Coding","43","GC19P007669","8.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RETN"
"FAT4","FAT Atypical Cadherin 4","Protein Coding","40","GC04P125315","8.57","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAT4"
"CDH24","Cadherin 24","Protein Coding","34","GC14M023047","8.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH24"
"GAPDH","Glyceraldehyde-3-Phosphate Dehydrogenase","Protein Coding","48","GC12P008161","8.56","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAPDH"
"CLSTN2","Calsyntenin 2","Protein Coding","39","GC03P139935","8.54","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLSTN2"
"GJB2","Gap Junction Protein Beta 2","Protein Coding","47","GC13M020187","8.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB2"
"CDH6","Cadherin 6","Protein Coding","41","GC05P031193","8.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH6"
"NOTCH2","Notch Receptor 2","Protein Coding","50","GC01M119911","8.53","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOTCH2"
"SYT9","Synaptotagmin 9","Protein Coding","36","GC11P007238","8.52","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SYT9"
